Date,S&P 500 ^GSPC,NASDAQ ^IXIC,Dow Jones ^DJI,CPALWE01USQ661N,RealInterestRate,UnemploymentRate,GDP_Growth,M2_Supply,FedFundsRate
1992-01-01,408.7799987792969,620.2100219726562,3223.39990234375,58.870051622737,3.19854245,7.3,4.9,3398.6,4.03
1992-04-01,414.95001220703125,578.6799926757812,3359.10009765625,59.3877169521016,3.78985987,7.4,4.4,3434.1,3.73
1992-07-01,424.2099914550781,580.8300170898438,3393.800048828125,59.8622435040191,3.35309944,7.7,4.0,3407.1,3.25
1992-10-01,418.67999267578125,605.1699829101562,3226.300048828125,60.2792516860072,2.72804375,7.3,4.2,3413.8,3.1
1993-01-01,438.7799987792969,696.3400268554688,3310.0,60.6962598679954,3.26790846,7.3,0.7,3455.2,3.02
1993-04-01,440.19000244140625,661.4199829101562,3427.550048828125,61.1851660123952,2.77451693,7.1,2.3,3438.6,2.96
1993-07-01,448.1300048828125,704.7000122070312,3539.469970703125,61.4152394921128,2.59179878,6.9,1.9,3450.7,3.06
1993-10-01,467.8299865722656,779.260009765625,3680.590087890625,61.8322476741009,2.39884319,6.8,5.6,3449.1,2.99
1994-01-01,481.6099853515625,800.469970703125,3978.360107421875,62.1198395237479,2.77268493,6.6,3.9,3502.8,3.05
1994-04-01,450.9100036621094,733.8400268554688,3681.68994140625,62.5512272982184,3.65918278,6.4,5.5,3507.2,3.56
1994-07-01,458.260009765625,722.1599731445312,3764.5,63.155170182477,3.7864194,6.1,2.4,3489.0,4.26
1994-10-01,472.3500061035156,777.489990234375,3908.1201171875,63.4859008095711,3.95662307,5.8,4.7,3466.2,4.76
1995-01-01,470.4200134277344,755.2000122070312,3843.860107421875,63.9604273614886,4.24429022,5.6,1.4,3508.3,5.53
1995-04-01,514.7100219726562,843.97998046875,4321.27001953125,64.5356110607825,3.6549273,5.8,1.2,3504.1,6.05
1995-07-01,562.0599975585938,1001.2100219726562,4708.47021484375,64.8088233179472,2.93803016,5.7,3.5,3553.5,5.85
1995-10-01,581.5,1036.06005859375,4755.47998046875,65.1107947600765,3.0097294,5.5,2.7,3581.6,5.76
1996-01-01,636.02001953125,1059.7900390625,5395.2998046875,65.6859784593705,2.64759197,5.6,3.0,3661.5,5.56
1996-04-01,654.1699829101562,1190.52001953125,5569.080078125,66.3905784910056,3.10833442,5.6,6.8,3702.9,5.22
1996-07-01,639.9500122070312,1080.5899658203125,5528.91015625,66.7069295256173,3.36926055,5.5,3.6,3715.4,5.4
1996-10-01,705.27001953125,1221.510009765625,6029.3798828125,67.1958356700171,3.31834947,5.2,4.2,3765.4,5.24
1997-01-01,786.1599731445312,1379.8499755859375,6813.08984375,67.5984642595229,3.2548678,5.3,2.6,3874.1,5.25
1997-04-01,801.3400268554688,1260.760009765625,7009.0,67.8429173317228,3.55047337,5.1,6.8,3930.6,5.51
1997-07-01,954.3099975585938,1593.81005859375,8222.599609375,68.1017499964051,3.19987642,4.9,5.1,3946.3,5.52
1997-10-01,914.6199951171875,1593.6099853515625,7442.10009765625,68.3318234761227,3.01659074,4.7,3.5,3986.7,5.5
1998-01-01,980.280029296875,1619.3599853515625,7906.5,68.3893418460521,2.84030163,4.6,4.1,4100.0,5.56
1998-04-01,1111.75,1868.4100341796875,9063.3701171875,68.7775908430755,2.84606553,4.3,3.8,4194.6,5.45
1998-07-01,1120.6700439453125,1872.3900146484375,8883.2900390625,69.0220439152754,2.77070571,4.5,5.1,4224.6,5.54
1998-10-01,1098.6700439453125,1771.3900146484375,8592.099609375,69.3096357649224,1.93514547,4.5,6.6,4279.4,5.07
1999-01-01,1279.6400146484375,2505.889892578125,9358.830078125,69.5253296521577,2.30815245,4.3,3.8,4439.9,4.63
1999-04-01,1335.1800537109375,2542.860107421875,10789.0400390625,70.2155500913104,2.67778993,4.3,3.4,4520.8,4.74
1999-07-01,1328.719970703125,2638.489990234375,10655.150390625,70.7188358281926,3.0055618,4.3,5.4,4524.2,4.99
1999-10-01,1362.9300537109375,2966.429931640625,10729.8603515625,71.2077419725925,3.14292186,4.1,6.7,4568.0,5.2
2000-01-01,1394.4599609375,3940.35009765625,10940.5302734375,71.8979624117452,3.41105112,4.0,1.5,4698.8,5.45
2000-04-01,1452.4300537109375,3860.659912109375,10733.91015625,72.6744604057921,3.20296665,3.8,7.5,4785.0,6.02
2000-07-01,1430.8299560546875,3766.989990234375,10521.98046875,73.206505327639,3.06235485,4.0,0.4,4766.2,6.54
2000-10-01,1429.4000244140625,3369.6298828125,10971.1396484375,73.6522726945918,2.87662559,3.9,2.4,4835.3,6.51
2001-01-01,1366.010009765625,2772.72998046875,10887.3603515625,74.2993543562976,2.25143294,4.2,-1.3,4987.7,5.98
2001-04-01,1249.4599609375,2116.239990234375,10734.9697265625,75.1333707202738,2.22098391,4.4,2.5,5143.3,4.8
2001-07-01,1211.22998046875,2027.1300048828125,10522.8095703125,75.1189911277914,2.52836744,4.6,-1.6,5171.2,3.77
2001-10-01,1059.780029296875,1690.199951171875,9075.1396484375,74.8601584631091,1.98693245,5.3,1.1,5308.1,2.49
2002-01-01,1130.199951171875,1934.030029296875,9920.0,75.0039543879326,2.52349996,5.7,3.4,5506.2,1.73
2002-04-01,1076.9200439453125,1688.22998046875,9946.2197265625,75.8523503443912,2.70112632,5.9,2.5,5541.1,1.75
2002-07-01,911.6199951171875,1328.260009765625,8736.58984375,76.1687013790029,2.14192855,5.8,1.6,5546.6,1.73
2002-10-01,885.760009765625,1329.75,8397.0302734375,76.4562932286499,1.26869564,5.7,0.5,5690.3,1.75
2003-01-01,855.7000122070312,1320.9100341796875,8053.81005859375,77.2471708151791,1.48820174,5.8,2.1,5845.4,1.24
2003-04-01,916.9199829101562,1464.31005859375,8480.08984375,77.4772442948967,1.30961847,6.0,3.6,5963.1,1.26
2003-07-01,990.3099975585938,1735.02001953125,9233.7998046875,77.779215737026,1.12868896,6.2,6.8,6082.2,1.01
2003-10-01,1050.7099609375,1932.2099609375,9801.1201171875,77.7648361445437,1.38081936,6.0,4.7,6073.0,1.01
2004-01-01,1131.1300048828125,2066.14990234375,10488.0703125,78.4694361761788,1.70195436,5.7,2.3,6125.1,1.0
2004-04-01,1107.300048828125,1920.1500244140625,10225.5703125,79.591044389802,1.35814941,5.6,3.1,6255.3,1.0
2004-07-01,1101.719970703125,1887.3599853515625,10139.7099609375,79.8498770544843,1.93379862,5.5,3.8,6309.8,1.26
2004-10-01,1130.199951171875,1974.989990234375,10027.4697265625,80.4250607537782,1.6871063,5.5,4.1,6353.7,1.76
2005-01-01,1181.27001953125,2062.409912109375,10489.9404296875,80.8420689357664,1.7792759,5.3,4.5,6449.5,2.28
2005-04-01,1156.8499755859375,1921.6500244140625,10192.509765625,82.0068159268366,2.02052684,5.2,2.0,6528.5,2.79
2005-07-01,1234.1800537109375,2184.830078125,10640.91015625,83.1284241404599,1.82002108,5.0,3.2,6547.6,3.26
2005-10-01,1207.010009765625,2120.300048828125,10440.0703125,83.5598119149303,1.96704484,5.0,2.2,6598.1,3.78
2006-01-01,1280.0799560546875,2305.820068359375,10864.8603515625,83.9049221345067,2.06484172,4.7,5.5,6737.3,4.29
2006-04-01,1310.6099853515625,2322.570068359375,11367.1396484375,85.4147793451534,2.35839303,4.7,1.0,6847.0,4.79
2006-07-01,1276.6600341796875,2091.469970703125,11185.6796875,85.8749263045886,2.49634953,4.7,0.6,6880.0,5.24
2006-10-01,1377.93994140625,2366.7099609375,12080.73046875,84.9833915706829,2.21206207,4.4,3.5,6924.7,5.25
2007-01-01,1438.239990234375,2463.929931640625,12621.6904296875,85.8051852810491,2.14807579,4.6,1.2,7136.5,5.25
